order_date,total_orders,delivered,rto,cancelled,total_order_value
2025-12-31,281,0,0,0,128616.1
2025-12-30,290,0,0,0,133575.07
2025-12-29,289,0,0,0,135801.29
2025-12-28,264,205,38,21,113428.86
2025-12-27,296,239,40,17,138767.54
2025-12-26,298,240,41,17,135082.31
2025-12-25,246,191,42,13,111265.12
2025-12-24,285,242,25,18,131716.04
2025-12-23,226,171,46,9,102674.97
2025-12-22,285,232,30,23,135531.55
2025-12-21,247,193,39,15,111520.29
2025-12-20,292,235,43,14,123481.75
2025-12-19,331,281,31,19,143097.63
2025-12-18,275,223,41,11,119463.87
2025-12-17,220,180,28,12,97989.05
2025-12-16,248,209,27,12,114476.04
2025-12-15,224,190,25,9,97211.91
2025-12-14,290,226,50,14,125383.22
2025-12-13,311,257,39,15,139011.76
2025-12-12,258,215,32,11,110268.78
2025-12-11,238,192,34,12,108033.68
2025-12-10,290,220,44,26,125316.42
2025-12-09,277,224,40,13,128500.19
2025-12-08,258,206,33,19,114347.56
2025-12-07,273,225,26,22,119157.44
2025-12-06,324,250,53,21,152284.29
2025-12-05,306,240,44,22,134235.99
2025-12-04,260,215,34,11,114565.98
2025-12-03,251,198,43,10,111595.03
2025-12-02,262,208,37,17,119067.36
2025-12-01,273,225,37,11,126017.32
